source,target,corr_raw,corr_market_adj,same_sector
BVH,CTG,0.40861925097854995,-0.1097601266847136,0
BVH,FPT,0.4643036246523494,0.14398770447509962,0
BVH,GAS,0.5531700676068607,0.32291120401362416,0
BVH,GVR,0.4448259276885626,0.09943032608979836,0
BVH,HDB,0.4285354301336266,0.0015021288100803675,0
BVH,HPG,0.32279312357343015,-0.193357827816658,0
BVH,LPB,0.4082918050371779,-0.00674994903523211,0
BVH,MBB,0.47154650302789025,-0.046829933697806456,0
BVH,MSN,0.3419760661818339,-0.08264617294623257,0
BVH,MWG,0.3391702308506651,-0.05768980928242018,0
BVH,NVL,0.08361903747495877,-0.07580493966321035,0
BVH,PDR,0.11312121955577106,-0.12487327440092541,0
BVH,PLX,0.5230925095682,0.27362104444147484,0
BVH,POW,0.4840053958537891,0.14347747668190527,0
BVH,SAB,0.30655953139788494,0.07465309176683324,0
BVH,SHB,0.36257446650718383,-0.06550388151778481,0
BVH,SSB,0.14350914023586553,-0.10222675662844294,0
BVH,SSI,0.37415389626508355,-0.13248316655055198,0
BVH,STB,0.4341588158739867,-0.03133772251684353,0
BVH,TCB,0.41875417939544196,-0.11407999855949352,0
BVH,TPB,0.3938497468454417,-0.09166282652443075,0
BVH,VCB,0.3754813593286543,-0.03534981102878163,0
BVH,VHM,0.36268896166945747,0.07983871151768991,0
BVH,VIB,0.3831270107402522,-0.10698079694154312,0
BVH,VIC,0.3263770937509447,0.06934845927178027,0
BVH,VJC,0.294305569156512,0.02580087847655934,0
BVH,VNM,0.4008971902715281,0.07883091099456405,0
BVH,VPB,0.3955166953079885,-0.06980898551321577,0
BVH,VRE,0.3593538267038745,0.03545100313099041,0
CTG,FPT,0.4401500023495361,-0.08668979058239065,0
CTG,GAS,0.37220997973867676,-0.12490953290990049,0
CTG,GVR,0.4870005599128116,-0.017499340895451923,0
CTG,HDB,0.5723673787672149,0.046479142639496554,1
CTG,HPG,0.5305705299272292,-0.0584144135757919,0
CTG,LPB,0.5712911120698638,0.08400974721567397,1
CTG,MBB,0.73686023824695,0.27899004004008876,1
CTG,MSN,0.48074951317258097,-0.05277591488200109,0
CTG,MWG,0.45989386488911066,-0.04875233256420679,0
CTG,NVL,0.09753148574476916,-0.13820178298696614,0
CTG,PDR,0.19108120472292395,-0.12469256552728061,0
CTG,PLX,0.3778792014821226,-0.12446750403539066,0
CTG,POW,0.4895200444497113,-0.05068861870388816,0
CTG,SAB,0.2796762249175857,-0.07878077176933909,0
CTG,SHB,0.5483204691456743,0.06309562257911706,1
CTG,SSB,0.3057399177533015,0.039077907862643785,1
CTG,SSI,0.5680622204485326,-0.015490717054219765,0
CTG,STB,0.6135354165588209,0.07668006628125468,1
CTG,TCB,0.6590080424621088,0.11968480687996816,1
CTG,TPB,0.6134903469826787,0.09801276657985203,1
CTG,VCB,0.5256576008116418,0.03148589146416282,1
CTG,VHM,0.32437620014732627,-0.1321871803243822,0
CTG,VIB,0.6085870680297979,0.09136661364640272,1
CTG,VIC,0.2885282970707167,-0.12067434287820912,0
CTG,VJC,0.28729085957196865,-0.11721498400553401,0
CTG,VNM,0.4025378129243366,-0.09066610174384718,0
CTG,VPB,0.5642486072333563,0.009897608004630763,1
CTG,VRE,0.405574802743069,-0.053434734314406235,0
FPT,GAS,0.4290583333445648,0.11756097162363582,0
FPT,GVR,0.424204850647275,0.04128730190908686,0
FPT,HDB,0.4137375281240307,-0.05702483062423526,0
FPT,HPG,0.4069738713170884,-0.0759868223113067,0
FPT,LPB,0.40944973890066916,-0.03483633817144141,0
FPT,MBB,0.48562366041525595,-0.06145878653447939,0
FPT,MSN,0.4083385531411823,0.0005682362418726952,0
FPT,MWG,0.49561821726150873,0.1726376502439886,0
FPT,NVL,0.10995664456349205,-0.04993166332638763,0
FPT,PDR,0.16080408584391354,-0.07358299124500176,0
FPT,PLX,0.4047442316010419,0.07428090746134722,0
FPT,POW,0.41419162780564717,1.1977424430927724e-06,0
FPT,SAB,0.3131083925583643,0.07159631177451162,0
FPT,SHB,0.3790311371325624,-0.06716693744657189,0
FPT,SSB,0.2156216832125441,-0.017432132489813037,0
FPT,SSI,0.42750571561516093,-0.06841373042764948,0
FPT,STB,0.41705159173310064,-0.10067269794854206,0
FPT,TCB,0.45145514083860494,-0.08894821385335591,0
FPT,TPB,0.4047402856497895,-0.10705127114273505,0
FPT,VCB,0.4151082858173282,0.004663257160004686,0
FPT,VHM,0.3490661346648238,0.043361987043833705,0
FPT,VIB,0.38279752342134554,-0.14414174257896406,0
FPT,VIC,0.3375657746452162,0.07153613208785231,0
FPT,VJC,0.28036668314552154,-0.00828359214103537,0
FPT,VNM,0.46280337131940463,0.15639363810821189,0
FPT,VPB,0.41989591446634705,-0.058801852282293496,0
FPT,VRE,0.3571971055760431,0.011781954354656031,0
GAS,GVR,0.4534300361593362,0.14247542017406262,0
GAS,HDB,0.35663967737050034,-0.07985461695634125,0
GAS,HPG,0.35025464350255164,-0.1005369640552152,0
GAS,LPB,0.36316527610922966,-0.045868571261791474,0
GAS,MBB,0.3919800984035701,-0.15604500057300516,0
GAS,MSN,0.390050189259549,0.031800654729009045,0
GAS,MWG,0.3096008417104169,-0.06793895896736529,0
GAS,NVL,0.08871899326004795,-0.05237750472207607,0
GAS,PDR,0.07846125055170744,-0.14291060339625553,0
GAS,PLX,0.64572274300646,0.4771031127372274,1
GAS,POW,0.4739836711717674,0.16027394194796435,0
GAS,SAB,0.37867098250230563,0.18988375828017592,0
GAS,SHB,0.2846457623434888,-0.15556940173817707,0
GAS,SSB,0.10854931870839707,-0.12517159281537465,0
GAS,SSI,0.3582415023813643,-0.11215733593890057,0
GAS,STB,0.423990724516273,-0.0014328897667235203,0
GAS,TCB,0.33939176066660615,-0.21585325730863777,0
GAS,TPB,0.33952869542318387,-0.13903556987649324,0
GAS,VCB,0.4331059660155595,0.10080971383536066,0
GAS,VHM,0.3550408207105279,0.09432721845031303,0
GAS,VIB,0.3700947467390329,-0.08289274300259446,0
GAS,VIC,0.3189093984716844,0.08236056520806745,0
GAS,VJC,0.25677688262495,0.003424844834414702,0
GAS,VNM,0.3990106546128985,0.10873241836221556,0
GAS,VPB,0.31614293689847867,-0.1624699615544716,0
GAS,VRE,0.31464948664766557,-0.003945509005828341,0
GVR,HDB,0.3931927615404555,-0.11752108589473904,0
GVR,HPG,0.4745310482570537,0.02864616560602779,1
GVR,LPB,0.42845865381409576,-0.020028499414981395,0
GVR,MBB,0.50648031660542,-0.04450569993854679,0
GVR,MSN,0.4521754731568951,0.058207455443758244,0
GVR,MWG,0.45060186987042095,0.08352708840954742,0
GVR,NVL,0.15788018309916985,0.0066713328427371495,0
GVR,PDR,0.2819757691472474,0.0820571176661016,0
GVR,PLX,0.5143245155781282,0.2340132294576129,0
GVR,POW,0.45414809976264847,0.05076244187141035,0
GVR,SAB,0.30197512889503625,0.04646653735078613,0
GVR,SHB,0.4002893352574722,-0.049063765052567876,0
GVR,SSB,0.1631465081132701,-0.10017637105366173,0
GVR,SSI,0.5226517096737666,0.09241980047290067,0
GVR,STB,0.46809313951276327,-0.02558754872382266,0
GVR,TCB,0.485874712461357,-0.043598104540375854,0
GVR,TPB,0.42613134205325703,-0.09103435462895526,0
GVR,VCB,0.36723531436873563,-0.09812739325735409,0
GVR,VHM,0.34318300284462233,0.02175989817711441,0
GVR,VIB,0.42983980899983315,-0.07852782746367529,0
GVR,VIC,0.286361238243343,-0.014289107897234527,0
GVR,VJC,0.21732697591075983,-0.11328796648221723,0
GVR,VNM,0.35635371874095056,-0.027272762732904604,0
GVR,VPB,0.4010587825367856,-0.11745306667037031,0
GVR,VRE,0.3675322613962704,0.014425983590730678,0
HDB,HPG,0.4488322428337632,-0.13059576110556945,0
HDB,LPB,0.5438548310808156,0.10416805970008114,1
HDB,MBB,0.6245752061698611,0.09629225823567719,1
HDB,MSN,0.4072312304420139,-0.1110868993379989,0
HDB,MWG,0.3748880629062248,-0.12959124207552297,0
HDB,NVL,0.0809783638509918,-0.12758365184010792,0
HDB,PDR,0.19335517483831113,-0.07698885655958297,0
HDB,PLX,0.35510331423506825,-0.09118823510799814,0
HDB,POW,0.4774642163715064,0.008463274091626616,0
HDB,SAB,0.2870283989348067,-0.019193326821922152,0
HDB,SHB,0.515404730145737,0.07209009320687493,1
HDB,SSB,0.3558980284120752,0.1463861988756486,1
HDB,SSI,0.5378983740438001,0.01815512048072547,0
HDB,STB,0.5888007741520204,0.11488312231528072,1
HDB,TCB,0.603662710327646,0.09150782731429111,1
HDB,TPB,0.5884895375646026,0.13108447476971452,1
HDB,VCB,0.48313961333711913,0.024634414146400337,1
HDB,VHM,0.2967167072514013,-0.11319053826115083,0
HDB,VIB,0.5763856385204339,0.10913854904911742,1
HDB,VIC,0.28987113332304937,-0.06144707263944549,0
HDB,VJC,0.39924445881172804,0.11746152161722576,0
HDB,VNM,0.364480028327951,-0.08603066493647994,0
HDB,VPB,0.5260940434492429,0.021375010011760374,1
HDB,VRE,0.38191564044477,-0.030214430783526043,0
HPG,LPB,0.5164266551053951,0.046134162214812355,0
HPG,MBB,0.5667003226334333,-0.059532926302708004,0
HPG,MSN,0.5396841598839403,0.13318780477438563,0
HPG,MWG,0.4974631229429154,0.08786411353106996,0
HPG,NVL,0.18300519736659068,0.015469897758894,0
HPG,PDR,0.29332598911357005,0.06430229446263011,0
HPG,PLX,0.34641263535479044,-0.11480561003615253,0
HPG,POW,0.43508288917978954,-0.08078225485194951,0
HPG,SAB,0.26092226479341385,-0.0665248651562136,0
HPG,SHB,0.49744377442725884,0.03280653036684635,0
