date,open,high,low,close,volume,parkinson_volatility
2019-01-02,26841.036119249133,27737.30973307292,26793.863823784723,27171.2421875,2061280,0.0207827382814897
2019-01-03,27312.76057648917,27312.76057648917,25944.763932761733,26133.453125,1247100,0.0308593566463027
2019-01-04,25944.763671875,26227.797457386365,25190.006910511365,25944.763671875,982790,0.0242461303735066
2019-01-07,26416.48717517921,26888.210160450268,26274.97027959789,26322.142578125,905730,0.0138556201551936
2019-01-08,26322.14119819973,26322.14119819973,25944.76282976676,26039.107421875,687890,0.0086725146682653
2019-01-09,26039.10695460413,27501.448106040232,26039.10695460413,27407.103515625,2139870,0.0328141477694895
2019-01-10,27454.27827886248,27831.65667444822,27359.933679966045,27784.484375,1055420,0.0102662534866809
2019-01-11,27784.482536188338,28303.3777957776,27784.482536188338,28209.033203125,1834420,0.0111124671682677
2019-01-14,28303.37790877265,28633.583984375,28114.688722714167,28633.583984375,1377450,0.0109831377720184
2019-01-15,28633.58435609879,29246.82421875,28492.06746471774,29246.82421875,1723800,0.01570184090865
2019-01-16,29246.82239914547,29671.373046875,28963.788633992448,29671.373046875,1559790,0.0144953425455992
2019-01-17,29624.202372300664,29624.202372300664,28397.72265625,28397.72265625,1081730,0.0253933619444987
2019-01-18,28303.37740384616,28869.44495192308,27595.79296875,27595.79296875,664540,0.0270975829547854
2019-01-21,27690.139095163184,28020.345183180463,27359.933007145904,27642.966796875,470290,0.0143241149004112
2019-01-22,27642.965842238773,27831.65502887521,27265.58746896589,27312.759765625,644870,0.0123407329393166
2019-01-23,27171.24355670104,27548.621939433,26841.037471810567,27454.27734375,574730,0.0156269320673835
2019-01-24,27124.07042620933,28020.34405768408,27124.07042620933,27548.62109375,806970,0.0195238114891282
2019-01-25,27501.4487973566,27737.310279323632,27454.276500963188,27548.62109375,476020,0.0061596560932663
2019-01-28,27548.620673076923,27737.309855769232,27548.620673076923,27595.79296875,795190,0.0040994098038254
2019-01-29,27784.48284372343,27784.48284372343,27454.27676578444,27737.310546875,1013990,0.0071801511636119
2019-01-30,27784.483691739548,27784.483691739548,27501.44990201045,27642.966796875,666640,0.0061491445509242
2019-01-31,27831.65487211045,27831.65487211045,27312.759611782963,27548.62109375,1650390,0.0113025974960368
2019-02-01,27548.62082435345,27642.96541621767,25991.93505859375,27359.931640625,1869640,0.0369855500160295
2019-02-04,27359.931640625,27359.931640625,27359.931640625,27359.931640625,0,0.0
2019-02-05,27359.931640625,27359.931640625,27359.931640625,27359.931640625,0,0.0
2019-02-06,27359.931640625,27359.931640625,27359.931640625,27359.931640625,0,0.0
2019-02-07,27359.931640625,27359.931640625,27359.931640625,27359.931640625,0,0.0
2019-02-08,27359.931640625,27359.931640625,27359.931640625,27359.931640625,0,0.0
2019-02-11,27737.310546875,27784.48284372343,27501.449062632862,27737.310546875,844700,0.0061491445509242
2019-02-12,28020.34375,28775.100484006736,27642.96538299664,28020.34375,2751810,0.0241060268313986
2019-02-13,28114.688309518915,28775.10045101768,28067.51601369757,28680.755859375,1989390,0.014952503588387
2019-02-14,28963.790128968256,29718.546875,28727.928645833334,29718.546875,2560640,0.0203599567051463
2019-02-15,29388.341534985862,29718.547619648627,29105.30774813207,29199.65234375,1853120,0.01252217884614
2019-02-18,29199.65234375,29199.65234375,29199.65234375,29199.65234375,0,0.0
2019-02-19,29860.06292029272,30473.3027590981,29577.029148536392,29812.890625,3160210,0.017928531503879
2019-02-20,29812.890625,29812.890625,29812.890625,29812.890625,0,0.0
2019-02-21,30190.270220588234,32077.162109375,30143.097923368565,32077.162109375,3820470,0.0373479066473143
2019-02-22,32360.1971875,33916.88305803572,32077.163392857143,33020.609375,4170500,0.0334924332911603
2019-02-25,33586.67445612094,33775.3636384587,31322.404268067847,31982.81640625,3408000,0.0452811241891795
2019-02-26,31888.472610960143,32831.91854619565,31416.74964334239,32548.884765625,2184700,0.0264607205362561
2019-02-27,32926.2631397192,33209.29692028985,32501.712468863225,32548.884765625,1418370,0.0129343377934305
2019-02-28,32124.333043323863,32454.539109848483,31133.71484375,31133.71484375,4831010,0.0249527192306923
2019-03-01,31558.26683995864,32077.162109375,31322.405353860293,32077.162109375,1236900,0.0142997518568836
2019-03-04,32077.16111717613,32737.57325782387,32077.16111717613,32407.3671875,1639580,0.0122389342774248
